millis,acc_x_c,acc_y_c,acc_z_c,gyro_x_c,gyro_y_c,gyro_z_c,imu_temp_c,acc_x_l,acc_y_l,acc_z_l,gyro_x_l,gyro_y_l,gyro_z_l,imu_temp_l,acc_x_r,acc_y_r,acc_z_r,gyro_x_r,gyro_y_r,gyro_z_r,imu_temp_r,obj_temp,amb_temp
307494, 0.354, -0.057, 0.332, 1.038, -35.095, 2.930, 23.618, -0.264, -0.359, 0.095, 36.621, -26.367, -9.583, 22.180, 0.191, 0.420, -0.312, -3.296, 6.775, -30.823, 21.503, 19.230, 18.170
307528, 0.448, -0.075, 0.222, 5.676, -45.654, 5.432, 23.588, -0.264, -0.356, 0.183, 30.334, -37.170, 2.991, 22.168, 0.027, 0.414, -0.262, -9.644, 9.583, -49.683, 21.482, 19.230, 18.170
307565, 0.618, -0.085, 0.153, -1.221, -54.199, 13.916, 23.618, -0.305, -0.422, 0.350, 20.264, -47.668, 9.338, 22.180, -0.226, 0.557, -0.287, 1.892, 8.484, -45.898, 21.485, 19.170, 18.170
307599, 0.859, -0.131, 0.089, -18.982, -58.899, 19.348, 23.609, -0.383, -0.655, 0.569, 14.282, -53.833, 22.156, 22.171, -0.379, 0.799, -0.399, 12.695, -9.521, -45.837, 21.470, 19.170, 18.190
307636, 1.276, -0.286, -0.048, -28.809, -32.959, 10.254, 23.606, -0.482, -0.719, 0.808, 26.184, -38.086, -5.432, 22.183, -0.432, 0.972, -0.468, 24.963, -27.100, -18.066, 21.473, 19.170, 18.190
307671, 1.396, -0.305, -0.037, -28.564, -10.620, 24.475, 23.570, -0.451, -0.730, 0.991, 9.338, -14.282, -29.785, 22.165, -0.533, 1.107, -0.562, 28.564, 15.625, -10.925, 21.458, 19.230, 18.190
307706, 1.456, -0.533, 0.146, -39.673, 2.136, 45.044, 23.630, -0.443, -1.066, 1.023, -13.977, -22.522, 10.498, 22.174, -0.522, 1.174, -0.969, 53.406, 17.029, 15.198, 21.455, 19.230, 18.170
307743, 1.581, -0.791, 0.053, -8.911, 8.728, 20.142, 23.591, -0.364, -1.021, 1.171, -6.104, -17.883, -11.108, 22.180, -0.318, 1.414, -1.086, 32.959, -24.963, 31.616, 21.467, 19.190, 18.170
307777, 1.590, -0.377, 0.102, 26.672, 8.240, 4.028, 23.606, -0.574, -0.914, 1.070, -23.315, -7.019, 21.606, 22.150, -0.349, 1.330, -0.715, -0.183, 26.733, -20.996, 21.485, 19.190, 18.170
307811, 1.461, -0.175, 0.158, 27.527, 8.667, 7.690, 23.594, -0.818, -0.902, 0.842, -43.518, -11.292, 33.508, 22.174, -0.393, 1.178, -0.505, 14.832, 35.583, -17.822, 21.452, 19.190, 18.150
307848, 1.281, -0.230, 0.118, 4.272, 22.156, 22.400, 23.594, -0.598, -0.863, 0.710, -17.700, 11.414, -52.246, 22.186, -0.377, 0.974, -0.574, 47.913, 34.058, -7.263, 21.458, 19.230, 18.150
307881, 1.103, -0.330, 0.159, -6.958, 28.137, 29.175, 23.594, -0.369, -0.762, 0.650, -10.193, 19.531, -60.791, 22.168, -0.236, 0.877, -0.657, 53.772, 20.691, 20.142, 21.467, 19.230, 18.190
307914, 0.962, -0.343, 0.253, -4.700, 26.550, 28.687, 23.612, -0.351, -0.735, 0.520, -28.015, 11.414, -12.085, 22.168, -0.086, 0.853, -0.686, 50.476, 15.808, -4.822, 21.479, 19.230, 18.190
307949, 0.852, -0.321, 0.326, -2.747, 24.536, 23.071, 23.606, -0.381, -0.748, 0.329, -19.409, 12.024, -4.883, 22.195, -0.016, 0.736, -0.682, 34.485, 9.521, -5.493, 21.509, 19.250, 18.190
307982, 0.729, -0.327, 0.322, -2.441, 17.578, 10.681, 23.624, -0.310, -0.682, 0.282, 5.676, 13.733, -31.006, 22.180, -0.001, 0.666, -0.661, 27.710, 11.597, 9.155, 21.518, 19.250, 18.190
308017, 0.655, -0.264, 0.328, -2.991, 9.033, 3.113, 23.627, -0.269, -0.608, 0.215, 13.245, 16.357, -24.902, 22.159, 0.075, 0.546, -0.557, 12.695, -12.695, 8.301, 21.509, 19.250, 18.190
308051, 0.528, -0.279, 0.365, -10.620, -0.122, 2.136, 23.603, -0.220, -0.550, 0.177, 10.803, 13.123, -9.338, 22.192, 0.053, 0.500, -0.597, 11.108, -25.146, 15.869, 21.521, 19.250, 18.190
308084, 0.526, -0.219, 0.212, -1.465, -13.306, -11.780, 23.594, -0.243, -0.454, 0.298, 34.180, -2.136, -11.353, 22.153, 0.033, 0.556, -0.464, -9.033, -14.282, -17.212, 21.500, 19.250, 18.170
308119, 0.656, -0.143, 0.094, 0.732, -14.221, -16.846, 23.612, -0.282, -0.368, 0.388, 28.870, -5.981, -4.578, 22.186, -0.104, 0.536, -0.320, -23.743, -27.344, -8.728, 21.515, 19.250, 18.170
308152, 0.660, -0.065, 0.137, -3.174, -13.367, -4.517, 23.603, -0.347, -0.396, 0.388, 16.602, -7.874, 10.986, 22.171, -0.168, 0.559, -0.278, -25.024, -19.104, -36.804, 21.506, 19.250, 18.170
308185, 0.748, -0.036, 0.128, -7.568, -15.076, 1.709, 23.615, -0.425, -0.447, 0.431, 17.639, -13.184, 17.456, 22.162, -0.158, 0.653, -0.259, -7.996, -13.367, -1.770, 21.539, 19.250, 18.210
308221, 0.882, -0.125, 0.109, -20.752, -10.071, 16.479, 23.615, -0.426, -0.524, 0.531, 22.522, -16.235, 11.963, 22.204, -0.277, 0.718, -0.348, 0.916, 7.141, -9.033, 21.506, 19.250, 18.210
308254, 0.949, -0.287, 0.215, -27.588, -8.423, 30.945, 23.594, -0.378, -0.665, 0.548, 11.719, -17.334, 14.526, 22.201, -0.171, 0.809, -0.587, 19.592, -3.906, 6.531, 21.530, 19.230, 18.210
308289, 1.009, -0.459, 0.154, -15.564, -13.000, 13.672, 23.579, -0.338, -0.689, 0.718, 14.160, -15.991, -2.380, 22.183, -0.262, 0.982, -0.752, 17.456, 2.808, -12.451, 21.518, 19.230, 18.190
308322, 1.353, -0.388, 0.150, -3.784, -13.245, 5.005, 23.621, -0.515, -0.880, 0.932, 0.732, -14.954, 21.362, 22.165, -0.348, 1.193, -0.697, -8.606, 7.812, -10.559, 21.521, 19.230, 18.190
308355, 1.698, -0.525, 0.190, -15.930, -11.414, 17.273, 23.609, -0.728, -1.173, 1.076, -20.569, -18.616, 69.336, 22.171, -0.569, 1.423, -0.921, 7.446, 24.109, -5.066, 21.548, 19.230, 18.190
308391, 1.659, -0.777, 0.028, -14.832, 10.376, -8.362, 23.621, -0.519, -1.175, 1.076, 10.986, 26.489, -33.142, 22.186, -0.743, 1.262, -1.105, 12.634, 4.883, 0.244, 21.542, 19.230, 18.190
308424, 1.474, -0.735, -0.015, -17.700, 27.954, -31.982, 23.600, -0.278, -0.997, 1.048, 24.414, 58.472, -82.214, 22.168, -0.631, 1.101, -0.947, -2.014, -6.165, 39.978, 21.530, 19.230, 18.190
308457, 1.293, -0.595, 0.082, -13.794, 34.607, -37.598, 23.606, -0.291, -0.793, 0.960, -19.592, 55.481, -20.264, 22.174, -0.428, 1.041, -0.839, -4.333, -5.310, 63.110, 21.545, 19.170, 18.190
